Subject,Expertise,Mode,Mode_Order,Trial,Winner,Loser,,WinnerRating,LoserRating,AbsDiff,Time,Correct,CorrectNum
#NAME?,novice,tradeC,1,1,170,63,,4.76,3.045454545,1.714545455,1753,correct,1
#NAME?,novice,tradeC,1,2,170,236,,4.76,2.25,2.51,1374,correct,1
#NAME?,novice,tradeC,1,3,165,170,,4.8,4.76,0.04,4362,correct,1
#NAME?,novice,tradeC,1,4,165,5,,4.8,4.2,0.6,3761,correct,1
#NAME?,novice,tradeC,1,5,165,330,,4.8,4.65,0.15,3269,correct,1
#NAME?,novice,tradeC,1,7,322,139,,4.4,2.473684211,1.926315789,3104,correct,1
#NAME?,novice,tradeC,1,10,89,2,,5.526315789,3.736842105,1.789473684,4403,correct,1
#NAME?,novice,tradeC,1,11,89,260,,5.526315789,4.291666667,1.234649122,1478,correct,1
#NAME?,novice,tradeC,1,14,154,55,,3.48,1.913043478,1.566956522,3254,correct,1
#NAME?,novice,tradeC,1,17,122,154,,4.15,3.48,0.67,1487,correct,1
#NAME?,novice,tradeC,1,18,122,141,,4.15,2.090909091,2.059090909,3780,correct,1
#NAME?,novice,tradeC,1,21,122,177,,4.15,4.05,0.1,3631,correct,1
#NAME?,novice,tradeC,1,25,258,317,,4.727272727,4,0.727272727,2121,correct,1
#NAME?,novice,tradeC,1,26,258,34,,4.727272727,2.153846154,2.573426573,1417,correct,1
#NAME?,novice,tradeC,1,27,258,265,,4.727272727,4.15,0.577272727,7502,correct,1
#NAME?,novice,tradeC,1,28,258,174,,4.727272727,3.789473684,0.937799043,2289,correct,1
#NAME?,novice,tradeC,1,29,258,315,,4.727272727,2.703703704,2.023569023,2177,correct,1
#NAME?,novice,tradeC,1,30,258,49,,4.727272727,3.785714286,0.941558441,5540,correct,1
#NAME?,novice,tradeC,2,0,w5,w10,,5.454545455,3.095238095,2.35930736,4797,correct,1
#NAME?,novice,tradeC,2,2,332,30,,4.15,2.333333333,1.816666667,1757,correct,1
#NAME?,novice,tradeC,2,3,332,160,,4.15,3.736842105,0.413157895,3368,correct,1
#NAME?,novice,tradeC,2,4,37,332,,5.2,4.15,1.05,2004,correct,1
#NAME?,novice,tradeC,2,5,37,144,,5.2,3.363636364,1.836363636,1629,correct,1
#NAME?,novice,tradeC,2,6,37,199,,5.2,4.722222222,0.477777778,1698,correct,1
#NAME?,novice,tradeC,2,7,37,77,,5.2,3.4,1.8,1542,correct,1
#NAME?,novice,tradeC,2,8,228,37,,5.294117647,5.2,0.094117647,3608,correct,1
#NAME?,novice,tradeC,2,9,228,36,,5.294117647,3.290322581,2.003795066,1508,correct,1
#NAME?,novice,tradeC,2,10,228,250,,5.294117647,5.291666667,0.00245098,2049,correct,1
#NAME?,novice,tradeC,2,11,228,150,,5.294117647,3.217391304,2.076726343,1483,correct,1
#NAME?,novice,tradeC,2,12,228,254,,5.294117647,3.7,1.594117647,1110,correct,1
#NAME?,novice,tradeC,2,13,228,306,,5.294117647,4.85,0.444117647,2700,correct,1
#NAME?,novice,tradeC,2,14,228,163,,5.294117647,2.526315789,2.767801858,1176,correct,1
#NAME?,novice,tradeC,2,15,228,330,,5.294117647,4.65,0.644117647,3280,correct,1
#NAME?,novice,tradeC,2,16,228,38,,5.294117647,2.19047619,3.103641457,1557,correct,1
#NAME?,novice,tradeC,2,17,228,191,,5.294117647,3.823529412,1.470588235,1423,correct,1
#NAME?,novice,tradeC,2,18,228,328,,5.294117647,3.764705882,1.529411765,2141,correct,1
#NAME?,novice,tradeC,2,19,228,261,,5.294117647,4.055555556,1.238562091,2820,correct,1
#NAME?,novice,tradeC,2,20,228,136,,5.294117647,4.681818182,0.612299465,1255,correct,1
#NAME?,novice,tradeC,2,21,228,234,,5.294117647,3.62962963,1.664488017,1205,correct,1
#NAME?,novice,tradeC,2,22,228,25,,5.294117647,3.181818182,2.112299465,1353,correct,1
#NAME?,novice,tradeC,2,25,228,123,,5.294117647,4.772727273,0.521390374,1771,correct,1
#NAME?,novice,tradeC,2,26,228,159,,5.294117647,2.347826087,2.94629156,1547,correct,1
#NAME?,novice,tradeC,2,27,228,134,,5.294117647,3.833333333,1.460784314,1560,correct,1
#NAME?,novice,tradeC,2,28,228,220,,5.294117647,2.464285714,2.829831933,2140,correct,1
#NAME?,novice,tradeC,2,29,228,178,,5.294117647,4.523809524,0.770308123,2205,correct,1
#NAME?,novice,tradeC,2,30,228,244,,5.294117647,4.263157895,1.030959752,2042,correct,1
#NAME?,novice,tradeC,0,0,19,76,,3.739130435,3.352941176,0.386189259,12194,correct,1
#NAME?,novice,tradeC,0,2,19,323,,3.739130435,2.388888889,1.350241546,2211,correct,1
#NAME?,novice,tradeC,0,3,w16,19,,5.210526316,3.739130435,1.471395881,4328,correct,1
#NAME?,novice,tradeC,0,4,w16,78,,5.210526316,3.2,2.010526316,2061,correct,1
#NAME?,novice,tradeC,0,5,w16,149,,5.210526316,3.85,1.360526316,3768,correct,1
#NAME?,novice,tradeC,0,7,184,59,,4.625,3.740740741,0.884259259,3602,correct,1
#NAME?,novice,tradeC,0,8,184,70,,4.625,3.666666667,0.958333333,2077,correct,1
#NAME?,novice,tradeC,0,9,199,184,,4.722222222,4.625,0.097222222,6590,correct,1
#NAME?,novice,tradeC,0,10,199,150,,4.722222222,3.217391304,1.504830918,2127,correct,1
#NAME?,novice,tradeC,0,11,199,326,,4.722222222,3.4,1.322222222,1390,correct,1
#NAME?,novice,tradeC,0,12,199,2,,4.722222222,3.736842105,0.985380117,1491,correct,1
#NAME?,novice,tradeC,0,14,113,261,,4.1,4.055555556,0.044444444,1979,correct,1
#NAME?,novice,tradeC,0,17,207,55,,3.481481481,1.913043478,1.568438003,1338,correct,1
#NAME?,novice,tradeC,0,18,207,218,,3.481481481,2.947368421,0.53411306,1175,correct,1
#NAME?,novice,tradeC,0,20,172,207,,6.108108108,3.481481481,2.626626627,9044,correct,1
#NAME?,novice,tradeC,0,21,172,80,,6.108108108,3.227272727,2.880835381,1350,correct,1
#NAME?,novice,tradeC,0,22,172,92,,6.108108108,3.2,2.908108108,1116,correct,1
#NAME?,novice,tradeC,0,23,172,67,,6.108108108,4.5,1.608108108,1195,correct,1
#NAME?,novice,tradeC,0,24,172,36,,6.108108108,3.290322581,2.817785527,1145,correct,1
