Website    CombinedOrder
337    2
346    1
345    4
340    9
250    14
347    3
343    21
118    10
89    32
106    15
w14    11
334    25
103    26
276    5
181    12
210    20
w9    31
242    47
165    39
93    22
w2    6
341    0
180    8
48    51
99    18
w15    49
241    64
336    19
298    41
302    13
342    46
135    80
73    61
339    48
338    23
306    36
281    59
269    16
321    28
177    70
124    30
w1    43
w8    58
235    7
142    24
268    79
329    38
182    29
322    42
266    106
230    33
295    34
w11    56
97    73
278    65
32    63
282    53
262    85
74    112
60    89
186    69
112    82
225    179
65    99
344    40
172    84
125    37
286    52
28    123
w18    55
318    72
270    57
136    126
258    27
224    66
108    78
26    134
297    45
205    50
331    54
234    35
335    17
201    44
330    102
152    71
41    107
98    108
121    75
208    105
33    92
58    88
255    139
w5    256
49    211
122    163
274    137
51    94
214    129
227    140
94    132
310    103
88    74
13    62
w16    87
45    90
203    76
133    143
111    104
316    141
184    116
19    95
257    207
w19    127
196    133
8    120
5    167
67    150
15    83
21    159
62    97
275    113
293    157
294    166
76    196
299    114
20    153
130    128
261    111
271    144
174    130
140    243
204    261
319    96
198    93
52    124
86    209
w17    142
23    125
349    171
167    190
243    158
44    60
193    168
137    122
9    98
146    175
27    91
63    169
200    170
145    198
332    131
113    155
36    200
240    183
164    152
237    164
267    67
101    147
253    121
264    178
195    193
218    226
100    77
134    115
254    184
147    136
154    172
148    154
10    110
263    259
72    173
228    216
158    192
37    160
104    117
66    145
273    177
217    81
139    205
260    68
222    212
320    118
251    148
64    180
185    156
219    251
168    181
176    188
50    119
178    208
327    232
199    109
25    246
46    176
247    217
175    185
328    229
115    210
239    206
117    234
109    225
166    222
43    151
162    201
233    191
324    149
w0    165
w4    195
156    197
78    269
231    161
35    255
3    146
1    202
173    219
300    186
70    194
187    260
256    247
170    187
128    203
40    101
194    213
212    174
55    275
333    218
150    265
259    233
211    199
143    100
191    230
91    254
265    236
206    228
317    244
279    189
179    215
290    227
287    182
11    288
39    257
153    220
157    252
229    253
245    223
18    204
149    224
77    241
215    278
123    138
141    237
305    245
190    271
102    299
188    86
161    135
207    240
226    266
80    162
29    267
83    268
221    250
280    290
95    242
24    258
244    282
289    285
90    273
151    277
14    292
252    235
197    302
192    248
17    291
2    274
42    214
129    221
213    262
249    296
92    287
238    301
120    239
144    306
107    263
169    289
315    272
85    281
22    283
119    238
202    307
303    311
132    297
w10    249
69    300
291    279
248    276
81    323
304    316
114    298
209    295
82    294
183    270
59    231
47    329
323    264
57    284
307    328
96    321
283    305
61    315
131    293
34    304
159    309
314    312
311    326
54    310
292    318
326    314
38    327
277    325
160    280
312    303
105    322
56    331
223    324
220    317
163    308
284    332
155    313
348    319
313    336
236    320
7    286
0    330
189    334
30    333
79    335
