Expertise,Mode,Winner,Loser
novice,tradeN,63,77
novice,tradeN,170,63
novice,tradeN,170,236
novice,tradeN,165,170
novice,tradeN,165,5
novice,tradeN,165,330
novice,tradeN,322,165
novice,tradeN,322,139
novice,tradeN,322,235
novice,tradeN,2,322
novice,tradeN,89,2
novice,tradeN,89,260
novice,tradeN,154,89
novice,tradeN,154,341
novice,tradeN,154,55
novice,tradeN,154,28
novice,tradeN,154,29
novice,tradeN,122,154
novice,tradeN,122,141
novice,tradeN,122,244
novice,tradeN,122,43
novice,tradeN,122,177
novice,tradeN,122,w19
novice,tradeN,317,122
novice,tradeN,317,255
novice,tradeN,258,317
novice,tradeN,258,34
novice,tradeN,258,265
novice,tradeN,258,174
novice,tradeN,258,315
novice,tradeN,258,49
novice,tournamentN,195,65
novice,tournamentN,274,104
novice,tournamentN,95,41
novice,tournamentN,124,102
novice,tournamentN,201,107
novice,tournamentN,331,248
novice,tournamentN,125,189
novice,tournamentN,250,186
novice,tournamentN,135,22
novice,tournamentN,42,240
novice,tournamentN,193,25
novice,tournamentN,72,109
novice,tournamentN,228,80
novice,tournamentN,251,307
novice,tournamentN,276,w0
novice,tournamentN,160,105
novice,tournamentN,195,251
novice,tournamentN,331,193
novice,tournamentN,250,201
novice,tournamentN,276,274
novice,tournamentN,160,124
novice,tournamentN,135,228
novice,tournamentN,42,72
novice,tournamentN,125,95
novice,tournamentN,276,160
novice,tournamentN,125,331
novice,tournamentN,250,42
novice,tournamentN,135,195
novice,tournamentN,276,125
novice,tournamentN,135,250
novice,tournamentN,276,135
expert,tradeN,276,79
expert,tradeN,276,303
expert,tradeN,276,343
expert,tradeN,346,276
expert,tradeN,346,83
expert,tradeN,346,329
expert,tradeN,346,242
expert,tradeN,346,102
expert,tradeN,346,275
expert,tradeN,346,29
expert,tradeN,121,346
expert,tradeN,121,160
expert,tradeN,121,28
expert,tradeN,121,201
expert,tradeN,121,51
expert,tradeN,121,36
expert,tradeN,121,w16
expert,tradeN,121,w4
expert,tradeN,121,202
expert,tradeN,121,41
expert,tradeN,121,259
expert,tradeN,121,w0
expert,tradeN,228,121
expert,tradeN,228,289
expert,tradeN,228,348
expert,tradeN,228,98
expert,tradeN,228,234
expert,tradeN,228,213
expert,tradeN,228,114
expert,tradeN,228,347
expert,tradeN,228,163
expert,tournamentN,250,1
expert,tournamentN,153,82
expert,tournamentN,149,306
expert,tournamentN,35,311
expert,tournamentN,46,148
expert,tournamentN,11,280
expert,tournamentN,186,93
expert,tournamentN,192,131
expert,tournamentN,10,254
expert,tournamentN,334,190
expert,tournamentN,316,151
expert,tournamentN,178,215
expert,tournamentN,198,184
expert,tournamentN,274,159
expert,tournamentN,w2,54
expert,tournamentN,338,106
expert,tournamentN,198,10
expert,tournamentN,149,192
expert,tournamentN,w2,250
expert,tournamentN,316,153
expert,tournamentN,338,46
expert,tournamentN,178,11
expert,tournamentN,334,274
expert,tournamentN,186,35
expert,tournamentN,334,186
expert,tournamentN,316,338
expert,tournamentN,w2,198
expert,tournamentN,178,149
expert,tournamentN,334,178
expert,tournamentN,w2,316
expert,tournamentN,w2,334
novice,tradeN,w5,w10
novice,tradeN,332,w5
novice,tradeN,332,30
novice,tradeN,332,160
novice,tradeN,37,332
novice,tradeN,37,144
novice,tradeN,37,199
novice,tradeN,37,77
novice,tradeN,228,37
novice,tradeN,228,36
novice,tradeN,228,250
