Name,Renecke,total # of wins,total # of losses,total # of matches,wins/matches,losses/matches,score2,score3,sorted by score 3,,sorted by score 2,sorted by win loss,sorted by experts,,
114,2.666666667,0,16,16,0,1,0,-16.55899252,300,,311,338,4,,
150,3.217391304,0,19,19,0,1,0.571428571,-12.49060638,231,,149,337,6,,
194,2.5,0,16,16,0,1,13.34193947,12.69533847,56,,58,336,7,,
22,3.076923077,0,16,16,0,1,6.52232683,0.709369243,87,,84,335,8,,
148,3.105263158,0,20,20,0,1,0,-11.51954508,213,,247,334,9,,
54,2.75,0,21,21,0,1,0,-20.90689115,330,,336,333,10,,
314,2.357142857,0,19,19,0,1,0.055555556,-13.82145116,262,,200,332,11,,
25,3.181818182,0,18,18,0,1,0.035714286,-21.14963927,333,,205,331,12,,
178,4.523809524,0,13,13,0,1,0.235294118,-9.443508493,170,,170,330,21,,
264,2.882352941,0,26,26,0,1,0,-17.42109871,307,,317,329,23,,
313,2.071428571,0,16,16,0,1,20.451328,19.8416104,46,,48,328,24,,
145,3.833333333,0,21,21,0,1,0.666666667,-10.08619464,186,,145,327,32,,
196,4.037037037,0,14,14,0,1,0.06969697,-9.865432162,180,,193,326,37,,score3 = score2 -abs(your loss_raio - opponents loss_ratio) for each match
259,2.846153846,0,18,18,0,1,0,-7.622681174,149,,219,325,40,,
17,4.428571429,0,14,14,0,1,0,-14.75232353,277,,290,324,49,,
w14,6.1875,0,9,9,0,1,0,-11.0292529,199,,237,323,51,,
219,3.88,0,21,21,0,1,2.211214293,-8.673941746,161,,109,322,55,,
261,4.055555556,0,20,20,0,1,34.42129715,32.52512963,36,,36,321,58,,
115,3.5,0,16,16,0,1,0,-6.623244259,139,,217,320,61,,
92,3.2,0,25,25,0,1,0.166666667,-11.43255842,210,,183,319,67,,
316,5.111111111,0,12,12,0,1,0.25,-21.06155725,331,,168,318,69,,
256,3.157894737,0,4,4,0,1,0,-12.229474,225,,253,317,71,,
257,4.12,0,12,12,0,1,0,-11.9574185,220,,250,316,75,,
27,4.166666667,0,15,15,0,1,0,-11.10405898,203,,241,315,82,,
159,2.347826087,0,21,21,0,1,0,-19.93727667,326,,333,314,85,,
168,3.695652174,0,15,15,0,1,0,-11.09435983,202,,240,313,86,,
348,2.8,0,18,18,0,1,0.038461538,-18.91579357,317,,204,312,91,,
300,2.6,0,22,22,0,1,17.67182663,14.76105109,54,,56,311,95,,
315,2.703703704,0,25,25,0,1,0.806372549,-11.33121809,207,,139,310,96,,
323,2.388888889,0,25,25,0,1,0.03030303,-24.19671076,334,,206,309,98,,
65,3.512195122,0,25,25,0,1,59.80421909,59.25046852,17,,18,308,99,,
39,3.722222222,0,22,22,0,1,0,-14.03283794,266,,283,307,100,,
