Website,Reinecke’s ,NewScore
0,2.625,
0,2.625,
0,2.625,
0,2.625,
0,2.625,
0,2.625,
1,3.666666667,
1,3.666666667,
1,3.666666667,
1,3.666666667,
1,3.666666667,
1,3.666666667,
1,3.666666667,
2,4.444444444,
2,4.444444444,
2,4.444444444,
2,4.444444444,
2,4.444444444,
2,4.444444444,
2,4.444444444,
3,4.571428571,
5,4.8,
5,4.8,
5,4.8,
5,4.8,
5,4.8,
5,4.8,
7,3.8125,
7,3.8125,
7,3.8125,
7,3.8125,
7,3.8125,
7,3.8125,
8,4.2,
8,4.2,
8,4.2,
9,2.3,
9,2.3,
9,2.3,
10,4.714285714,
10,4.714285714,
10,4.714285714,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
11,4.7,
13,4.666666667,
13,4.666666667,
13,4.666666667,
13,4.666666667,
14,3,
14,3,
14,3,
14,3,
15,4,
15,4,
15,4,
15,4,
15,4,
15,4,
15,4,
15,4,
17,4.666666667,
17,4.666666667,
17,4.666666667,
17,4.666666667,
17,4.666666667,
17,4.666666667,
18,4,
18,4,
18,4,
18,4,
18,4,
18,4,
18,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
19,4,
20,4,
20,4,
20,4,
20,4,
20,4,
21,4.636363636,
21,4.636363636,
21,4.636363636,
21,4.636363636,
21,4.636363636,
21,4.636363636,
21,4.636363636,
22,3,
22,3,
22,3,
22,3,
22,3,
23,3.75,
23,3.75,
23,3.75,
23,3.75,
24,4.1,
24,4.1,
24,4.1,
24,4.1,
24,4.1,
24,4.1,
24,4.1,
24,4.1,
25,3.555555556,
25,3.555555556,
25,3.555555556,
25,3.555555556,
25,3.555555556,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
26,6,
27,5.5,
27,5.5,
27,5.5,
27,5.5,
27,5.5,
27,5.5,
28,4.555555556,
28,4.555555556,
28,4.555555556,
28,4.555555556,
28,4.555555556,
28,4.555555556,
28,4.555555556,
29,4.4,
29,4.4,
29,4.4,
29,4.4,
29,4.4,
29,4.4,
29,4.4,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
30,3.1,
32,5.272727273,
32,5.272727273,
32,5.272727273,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
33,6.222222222,
34,2.857142857,
34,2.857142857,
34,2.857142857,
34,2.857142857,
34,2.857142857,
35,2.727272727,
35,2.727272727,
35,2.727272727,
35,2.727272727,
36,3.733333333,
36,3.733333333,
36,3.733333333,
36,3.733333333,
36,3.733333333,
36,3.733333333,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
37,5.363636364,
