Subject,Expertise,Mode,Mode_Order,Trial,Winner,Loser,WinnerRating,LoserRating,AbsDiff,Time,Correct,CorrectNum
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,0,63,77,3.045454545,3.4,0.354545455,4434,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,1,170,63,4.76,3.045454545,1.714545455,1753,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,2,170,236,4.76,2.25,2.51,1374,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,3,165,170,4.8,4.76,0.04,4362,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,4,165,5,4.8,4.2,0.6,3761,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,5,165,330,4.8,4.65,0.15,3269,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,6,322,165,4.4,4.8,0.4,2468,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,7,322,139,4.4,2.473684211,1.926315789,3104,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,8,322,235,4.4,6.578947368,2.178947368,7980,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,9,2,322,3.736842105,4.4,0.663157895,3831,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,10,89,2,5.526315789,3.736842105,1.789473684,4403,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,11,89,260,5.526315789,4.291666667,1.234649122,1478,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,12,154,89,3.48,5.526315789,2.046315789,7635,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,13,154,341,3.48,7.05,3.57,4005,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,14,154,55,3.48,1.913043478,1.566956522,3254,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,15,154,28,3.48,4,0.52,7676,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,16,154,29,3.48,3.8,0.32,4238,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,17,122,154,4.15,3.48,0.67,1487,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,18,122,141,4.15,2.090909091,2.059090909,3780,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,19,122,244,4.15,4.263157895,0.113157895,8147,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,20,122,43,4.15,4.181818182,0.031818182,2436,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,21,122,177,4.15,4.05,0.1,3631,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,22,122,w19,4.15,4.421052632,0.271052632,4729,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,23,317,122,4,4.15,0.15,2579,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,24,317,255,4,4.321428571,0.321428571,2040,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,25,258,317,4.727272727,4,0.727272727,2121,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,26,258,34,4.727272727,2.153846154,2.573426573,1417,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,27,258,265,4.727272727,4.15,0.577272727,7502,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,28,258,174,4.727272727,3.789473684,0.937799043,2289,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,29,258,315,4.727272727,2.703703704,2.023569023,2177,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeC,1,30,258,49,4.727272727,3.785714286,0.941558441,5540,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,0,195,65,4.25,3.512195122,0.737804878,4958,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,1,274,104,4.761904762,4.045454545,0.716450217,3447,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,2,95,41,3,3.333333333,0.333333333,4566,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,3,124,102,6.222222222,2.888888889,3.333333333,4123,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,4,201,107,4.461538462,3.814814815,0.646723647,4390,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,5,331,248,5.666666667,3.588235294,2.078431373,3096,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,6,125,189,4.483870968,2.363636364,2.120234604,2669,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,7,250,186,5.291666667,4.533333333,0.758333334,2218,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,8,135,22,5.230769231,3.076923077,2.153846154,9263,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,9,42,240,3.473684211,4.0625,0.588815789,4791,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,10,193,25,4.173913043,3.181818182,0.992094861,3576,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,11,72,109,4.55,3.227272727,1.322727273,4693,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,12,228,80,5.294117647,3.227272727,2.06684492,8130,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,13,251,307,4.2,1.555555556,2.644444444,3810,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,14,276,w0,6,5.142857143,0.857142857,3166,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,15,160,105,3.736842105,2.055555556,1.681286549,7854,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentC,2,16,195,251,4.25,4.2,0.05,3712,correct,1
