Subject,Expertise,Mode,Mode_Order,Trial,Winner,Loser,WinnerRating,LoserRating,AbsDiff,Time,Correct,CorrectNum
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,0,63,77,3.6,3.454545455,0.145454545,4434,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,1,170,63,5.666666667,3.6,2.066666667,1753,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,2,170,236,5.666666667,2.555555556,3.111111111,1374,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,3,165,170,5.3,5.666666667,0.366666667,4362,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,4,165,5,5.3,4.8,0.5,3761,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,5,165,330,5.3,4.888888889,0.411111111,3269,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,6,322,165,4.294117647,5.3,1.005882353,2468,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,7,322,139,4.294117647,2.333333333,1.960784314,3104,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,8,322,235,4.294117647,7.125,2.830882353,7980,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,9,2,322,4.444444444,4.294117647,0.150326797,3831,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,10,89,2,5.25,4.444444444,0.805555556,4403,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,11,89,260,5.25,4.818181818,0.431818182,1478,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,12,154,89,3.272727273,5.25,1.977272727,7635,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,13,154,341,3.272727273,6.454545455,3.181818182,4005,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,14,154,55,3.272727273,1.888888889,1.383838384,3254,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,15,154,28,3.272727273,4.555555556,1.282828283,7676,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,16,154,29,3.272727273,4.4,1.127272727,4238,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,17,122,154,4.555555556,3.272727273,1.282828283,1487,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,18,122,141,4.555555556,2.375,2.180555556,3780,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,19,122,244,4.555555556,4.571428571,0.015873015,8147,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,20,122,43,4.555555556,4.789473684,0.233918128,2436,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,21,122,177,4.555555556,4,0.555555556,3631,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,22,122,w19,4.555555556,4.333333333,0.222222223,4729,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,23,317,122,4.583333333,4.555555556,0.027777777,2579,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,24,317,255,4.583333333,4.444444444,0.138888889,2040,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,25,258,317,4.285714286,4.583333333,0.297619047,2121,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,26,258,34,4.285714286,2.857142857,1.428571429,1417,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,27,258,265,4.285714286,5.25,0.964285714,7502,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,28,258,174,4.285714286,4.363636364,0.077922078,2289,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,29,258,315,4.285714286,3.375,0.910714286,2177,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tradeN,1,30,258,49,4.285714286,4.2,0.085714286,5540,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,0,195,65,4.666666667,4.25,0.416666667,4958,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,1,274,104,5.3,5,0.3,3447,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,2,95,41,3.111111111,3.875,0.763888889,4566,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,3,124,102,6.454545455,3.5,2.954545455,4123,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,4,201,107,4.8,4.4,0.4,4390,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,5,331,248,5.642857143,4.571428571,1.071428572,3096,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,6,125,189,5.071428571,3,2.071428571,2669,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,7,250,186,5.75,5.428571429,0.321428571,2218,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,8,135,22,5.285714286,3,2.285714286,9263,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,9,42,240,3.857142857,4.714285714,0.857142857,4791,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,10,193,25,4.692307692,3.555555556,1.136752136,3576,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,11,72,109,4.545454545,3.777777778,0.767676767,4693,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,12,228,80,6,3.777777778,2.222222222,8130,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,13,251,307,4.363636364,2.125,2.238636364,3810,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,14,276,w0,6.333333333,5.714285714,0.619047619,3166,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,15,160,105,4,3,1,7854,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,16,195,251,4.666666667,4.363636364,0.303030303,3712,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,17,331,193,5.642857143,4.692307692,0.950549451,5383,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,18,250,201,5.75,4.8,0.95,2378,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,19,276,274,6.333333333,5.3,1.033333333,4146,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,20,160,124,4,6.454545455,2.454545455,1985,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,21,135,228,5.285714286,6,0.714285714,2449,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,22,42,72,3.857142857,4.545454545,0.688311688,8122,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,23,125,95,5.071428571,3.111111111,1.96031746,2067,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,24,276,160,6.333333333,4,2.333333333,1248,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,25,125,331,5.071428571,5.642857143,0.571428572,1993,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,26,250,42,5.75,3.857142857,1.892857143,1826,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,27,135,195,5.285714286,4.666666667,0.619047619,4001,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,28,276,125,6.333333333,5.071428571,1.261904762,2733,correct,1
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,29,135,250,5.285714286,5.75,0.464285714,2049,incorrect,0
-Kmhdoe48tx5pWTdVOGu,novice,tournamentN,2,30,276,135,6.333333333,5.285714286,1.047619047,2555,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,0,276,79,6.333333333,2.2,4.133333333,3584,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,1,276,303,6.333333333,3.5,2.833333333,1720,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,2,276,343,6.333333333,5.818181818,0.515151515,1576,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,3,346,276,5.7,6.333333333,0.633333333,5824,incorrect,0
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,4,346,83,5.7,3,2.7,1728,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,5,346,329,5.7,4.916666667,0.783333333,5072,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,6,346,242,5.7,6.5,0.8,2647,incorrect,0
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,7,346,102,5.7,3.5,2.2,1969,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,8,346,275,5.7,4.133333333,1.566666667,1600,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,9,346,29,5.7,4.4,1.3,2040,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,10,121,346,5.5625,5.7,0.1375,6655,incorrect,0
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,11,121,160,5.5625,4,1.5625,2024,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,12,121,28,5.5625,4.555555556,1.006944444,1497,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,13,121,201,5.5625,4.8,0.7625,1096,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,14,121,51,5.5625,4.785714286,0.776785714,3047,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,15,121,36,5.5625,3.733333333,1.829166667,1280,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,16,121,w16,5.5625,5.25,0.3125,1400,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,17,121,w4,5.5625,4.7,0.8625,1872,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,18,121,202,5.5625,3.8,1.7625,1784,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,19,121,41,5.5625,3.875,1.6875,1160,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,20,121,259,5.5625,2.25,3.3125,1352,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,21,121,w0,5.5625,5.714285714,0.151785714,1344,incorrect,0
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,22,228,121,6,5.5625,0.4375,1673,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,23,228,289,6,3.933333333,2.066666667,1264,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,24,228,348,6,3.285714286,2.714285714,1591,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,25,228,98,6,4.5,1.5,1600,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,26,228,234,6,4.076923077,1.923076923,1512,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,27,228,213,6,3,3,1200,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,28,228,114,6,3.666666667,2.333333333,1000,correct,1
-Kmc1cCv2PMaeiWFWlDM,expert,tradeN,2,29,228,347,6,6.25,0.25,2903,incorrect,0
