Subject,Expertise,Mode,Mode_Order,Trial,Winner,Loser,WinnerRating,LoserRating,AbsDiff,Time,Correct,CorrectNum
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,0,260,208,4.291666667,4.0625,0.229166667,1518,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,1,260,118,4.291666667,4.777777778,0.486111111,630,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,2,260,183,4.291666667,3.368421053,0.923245614,782,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,3,260,161,4.291666667,4.473684211,0.182017544,760,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,4,260,262,4.291666667,4.3,0.008333333,585,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,5,260,111,4.291666667,4.6875,0.395833333,806,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,6,260,11,4.291666667,4.142857143,0.148809524,704,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,7,260,159,4.291666667,2.347826087,1.94384058,914,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,8,260,266,4.291666667,5.074074074,0.782407407,1010,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,9,260,128,4.291666667,3.130434783,1.161231884,1197,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,10,260,239,4.291666667,3.107142857,1.18452381,865,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,11,260,112,4.291666667,4.48,0.188333333,1042,incorrect,0
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,12,230,260,5.9,4.291666667,1.608333333,1057,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,13,230,49,5.9,3.785714286,2.114285714,1365,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,14,230,179,5.9,3.653846154,2.246153846,880,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,15,230,277,5.9,3.8125,2.0875,837,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,16,230,180,5.9,3.15,2.75,841,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,17,230,197,5.9,3.47826087,2.42173913,949,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,18,230,5,5.9,4.2,1.7,817,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,19,230,54,5.9,2.75,3.15,746,correct,1
-KXEYIZcOo3WVOMZO-YX,novice,tradeC,,20,230,328,5.9,3.764705882,2.135294118,1331,correct,1
